"photographer","nationality","birth_place","bp_lon","bp_lat","death_place","dp_lon","dp_lat"
"A. Aubrey Bodine","American","Baltimore (Baltimore Independent City, Maryland, United States)","-76.5408093","39.398901","Baltimore (Baltimore Independent City, Maryland, United States)","-76.5408093","39.398901"
"Aaron Siskind","American","New York City (New York state, United States)","-74.0059728","40.712775","Providence (Providence county, Rhode Island, United States)","-71.4128343","41.823989"
"Aaronel deRoy Gruber","American","Pittsburgh (Allegheny county, Pennsylvania, United States)","-79.9958864","40.440625","Pittsburgh","-79.9958864","40.440625"
"Adolf de Meyer","French","Paris (Ville de Paris department, Île-de-France, France)","2.3522148","48.856582","Hollywood (Los Angeles, Los Angeles county, California, United States)","-118.3286614","34.092809"
"Alan Cohen","American","Harrisburg, PA","-76.8867008","40.273191",NA,NA,NA
"Alexandre Georges","American","France","2.2137490","46.227638",NA,NA,NA
"Alfred Stieglitz","American","Hoboken (Hudson county, New Jersey, United States)","-74.0323626","40.743991","New York City (New York state, United States)","-74.0059728","40.712775"
"Algimantas S. J. Kezys","Lithuanian","Lithuania","23.8812750","55.169438",NA,NA,NA
"Alice Boughton","American","Brooklyn, New York, USA","-73.9441579","40.678178",NA,NA,NA
"Alison Rossiter","American","Jackson, Mississippi, United States","-90.1848103","32.298757",NA,NA,NA
"Alvin Langdon Coburn","British",NA,NA,NA,NA,NA,NA
"André Kertész","American","Budapest, Hungary","19.0402350","47.497912","New York, NY","-74.0059728","40.712775"
"Andreas Feininger","French","Paris (Ville de Paris department, Ile-de-France, France)","2.3522148","48.856582","New York City (New York state, United States)","-74.0059728","40.712775"
"Annie O'Neill","American","Wading River, NY","-72.8426016","40.950376",NA,NA,NA
"Anouk Kruithof","Dutch","Dordrecht, Netherlands","4.6900929","51.813298",NA,NA,NA
"Ansel Adams","American","San Francisco (San Francisco county, California, United States)","-122.4194155","37.774929","Carmel (Monterey county, California, United States)","-121.9232879","36.555239"
"Anthony Barboza","American","New Bedford, MA","-70.9342050","41.636215",NA,NA,NA
"Antony Armstrong-Jones, Earl of Snowdon","British","London (Greater London, England, United Kingdom)","-0.1277583","51.507351",NA,NA,NA
"Arne Svenson","American","Santa Monica, California, USA","-118.4911912","34.019454",NA,NA,NA
"Arthur Rothstein","American","New York, New York","-115.1745559","36.102371","New Rochelle, NY","-73.7823549","40.911488"
"Aspen Mays","American","Asheville, NC","-82.5514869","35.595058",NA,NA,NA
"August Sander","German","Herdorf (Koblenz district, Rhineland Palatinate, Germany)",NA,NA,"Cologne (K�ln district, North Rhine-Westphalia, Germany)","6.9602786","50.937531"
"Barbara Morgan","American","Buffalo (Wilson county, Kansas, United States)","-95.6974822","37.709767","Sleepy Hollow (Westchester county, New York state, United States)","-73.8584684","41.085652"
"Baron","British","England","-1.1743197","52.355518",NA,NA,NA
"Baron Raimond von Stillfried-Rathenitz","Austrian","Chomutov (Severocesky Kraj, Czech Republic)","13.4107370","50.463498","Vienna (Wien state, Austria)","16.3668609","48.206293"
"Berenice Abbott","American","Springfield (Clark county, Ohio, United States)","-83.8088171","39.924227",NA,NA,NA
"Bill Brandt","British","Hamburg (Hamburg state, Germany)","9.9936819","53.551085","London (Greater London, England, United Kingdom)","-0.1277583","51.507351"
"Bill Witt","American","Newark, New Jersey","-74.1723667","40.735657",NA,NA,NA
"Blythe Bohnen","American","Evanston, Illinois","-87.6876969","42.045072",NA,NA,NA
"Boris Mikhailov","Ukrainian","Kharkiv, Ukraine","36.2303830","49.993500",NA,NA,NA
"Brady W. Stewart","American","McKeesport, PA","-79.8641232","40.347067",NA,NA,NA
"Brassaï","French","Brașov (Brașov county, Romania) (Hungary)",NA,NA,"Azur, Côte d' (Provence-Alpes-Côte d'Azur, France)","6.6378577","43.254773"
"C. C. Kough","American","Uniontown, Pennsylvania","-79.7164326","39.900076","Pasadena, California","-118.1445155","34.147785"
"Cecil Walter Hardy Beaton","British","London (Greater London, England, United Kingdom)","-0.1277583","51.507351","Broad Chalke (Wiltshire, England, United Kingdom)","-1.9488200","51.024502"
"Chasmar-Winchell Press","American",NA,NA,NA,NA,NA,NA
"Chautauqua Photographic Company","American",NA,NA,NA,NA,NA,NA
"Clarence H. White","American","West Carlisle, Ohio","-82.1181972","40.228958",NA,NA,NA
"Clyde Hare","American","Bloomington, Indiana","-86.5263857","39.165325","Pittsburgh, PA","-79.9958864","40.440625"
"David Goldblatt","South African","Randfontein, South Africa","27.6786847","-26.199150",NA,NA,NA
"David Levinthal","American","San Francisco, CA","-122.4194155","37.774929",NA,NA,NA
"David Octavius Hill","Scottish","Perth (Perth and Kinross, Scotland, United Kingdom)","-3.4308381","56.394994","Edinburgh (Edinburgh, Scotland, United Kingdom)","-3.1882670","55.953252"
"Dorothy Wilding","English","Gloucester, England","-2.2381560","51.864245",NA,NA,NA
"Douglas Keats","American","Massachusetts","-71.3824374","42.407211",NA,NA,NA
"Duane Michals","American","Pittsburgh, Pennsylvania","-79.9958864","40.440625",NA,NA,NA
"Dulce Pinzón","Mexican","Mexico City","-99.1332080","19.432608",NA,NA,NA
"Dylan Vitone","American","Portland, Maine","-70.2553259","43.661471",NA,NA,NA
"E. J. Bellocq","American","New Orleans (Orleans parish, Louisiana, United States)","-90.0715323","29.951066","New Orleans (Orleans parish, Louisiana, United States)","-90.0715323","29.951066"
"Eadweard Muybridge","American","Kingston upon Thames (Greater London, England, United Kingdom)","-0.3006890","51.412330","Kingston upon Thames (Greater London, England, United Kingdom)","-0.3006890","51.412330"
"Edward J. Steichen","American","Luxembourg (Europe)","6.1295830","49.815273","Connecticut, West Redding","-73.4342882","41.326484"
"Edward Weston","American","Highland Park (Lake county, Illinois, United States)","-87.8003437","42.181692","Carmel (Monterey county, California, United States)","-121.9232879","36.555239"
"Eliot Porter","American","Winnetka (Cook county, Illinois, United States)","-87.7358950","42.108083","Santa Fe (Santa Fe county, New Mexico, United States)","-105.9377990","35.686975"
"Elliott Erwitt","American","Paris, France","2.3522219","48.856614",NA,NA,NA
"Ellsworth Kelly","American","Newburgh (Orange county, New York state, United States)","-74.0104178","41.503427","Spencertown, New York","-73.5464194","42.323384"
"Emmet Gowin","American","Danville (Virginia, United States)","-79.3950228","36.585972",NA,NA,NA
"Ernest Cole","South African","Eersterust, Pretoria, South Africa","28.3140488","-25.705664","New York, NY","-74.0059728","40.712775"
"Esther Bubley","American","Phillips (Price county, Wisconson United States)","-90.4004296","45.696626","Manhattan (New York City, New York state, United States)","-73.9712488","40.783060"
"Eugène Atget","French","Libourne (Gironde, Aquitaine, France)","-0.2439850","44.912998","Paris","2.3522219","48.856614"
"Eve Arnold","American","Philadelphia, Pennsylvania","-75.1652215","39.952584",NA,NA,NA
"Frank E. Bingaman","American","Pittsburgh, PA","-79.9958864","40.440625",NA,NA,NA
"Frank Eugene","American","New York City (New York state, United States)","-74.0059728","40.712775","Munich (Oberbayern, Bavaria, Germany)","11.5819805","48.135125"
"Frank Paulin","American","Pittsburgh, Pennsylvania","-79.9958864","40.440625",NA,NA,NA
"Fred G. Korth","American","Guben, Germany (Europe)","14.6955650","51.951486","United States","-95.7128910","37.090240"
"Gabriel Orozco","Mexican","Jalapa Enríquez (Veracruz, Mexico)","-96.9175059","19.527630",NA,NA,NA
"George A. Tice","American","Newark (Essex county, New Jersey, United States)","-74.1723667","40.735657",NA,NA,NA
"George Platt Lynes","American","East Orange (Essex county, New Jersey, United States)","-74.2048677","40.767323","New York City (New York state, United States)","-74.0059728","40.712775"
"Geraldo de Barros","Brazilian","Chavantes, Brazil","-49.7114397","-23.037569","São Paulo, Brazil","-46.6333094","-23.550520"
"Gertrude Kasebier","American","Des Moines, Iowa, USA","-93.6091064","41.600545","New York, New York, USA","-74.0059728","40.712775"
"Gilbert and Bacon","American","Philadelphia","-75.1652215","39.952584",NA,NA,NA
"Gordon H. Coster","American","Baltimore","-76.6121893","39.290385",NA,NA,NA
"Gordon Parks","American","Fort Scott, Kansas","-94.7082951","37.839763","New York City, New York","-74.0059728","40.712775"
"György Kepes","American","Lőrinci, Hungary",NA,NA,NA,NA,NA
"Hamidou Maiga","Malian","Bobo-Dioulasso, Burkina Faso","-4.3051542","11.164922",NA,NA,NA
"Harold Corsini","American","New York City, New York","-74.0059728","40.712775","Pittsburgh, Pennsylvania","-79.9958864","40.440625"
"Harry Bowden","American","Los Angeles (Los Angeles county, California, United States)","-118.2436849","34.052234","Sausalito (Marin county, California, United States)","-122.4852507","37.859094"
"Harry Callahan","American","Detroit (Wayne county, Michigan, United States)","-83.0457538","42.331427","Atlanta (Fulton county, Georgia, United States)","-84.3879824","33.748995"
"Harry Wilks","American","New York City","-74.0059728","40.712775",NA,NA,NA
"Heinrich Kühn","Austrian","Dresden (Dresden district, Saxony, Germany)","13.7372621","51.050409","Birgitz (Tyrol, Austria)","11.2995002","47.235452"
"Herbert List","German","Hamburg (Hamburg state, Germany)","9.9936819","53.551085","Munich (Oberbayern, Bavaria, Germany)","11.5819805","48.135125"
"Hew Charles Torrance","American","Scotland","-4.2026458","56.490671",NA,NA,NA
"Hiroshi Sugimoto","Japanese","Japan","138.2529240","36.204824",NA,NA,NA
"Horst P. Horst","American","Weissenfels (Halle district, Saxony-Anhalt, Germany)","11.9734777","51.439992","Palm Beach (Palm Beach county, Florida, United States)","-80.0364297","26.705621"
"Imogen Cunningham","American","Portland, Oregon, USA","-122.6764815","45.523062",NA,NA,NA
"Irving Penn","American","Plainfield (Union county, New Jersey, United States)","-74.4073736","40.633714","Manhattan (New York City, New York state, United States)","-73.9712488","40.783060"
"Jack Delano","American","Kiev, Ukraine","30.5234000","50.450100","Puerto Rico","-66.5901490","18.220833"
"Jacques Henri Charles au Lartigue","French","Courbevoie (Hauts-de-Seine department, Île-de-France, France)","2.2672013","48.895223",NA,NA,NA
"James Blair","American","Philadelphia, PA","-75.1652215","39.952584",NA,NA,NA
"James Hare","British","London, England","-0.1277583","51.507351",NA,NA,NA
"James J. Klingensmith","American","Pittsburgh, Pa.","-79.9958864","40.440625",NA,NA,NA
"James Valentine","Scottish","Scotland","-4.2026458","56.490671","Scotland","-4.2026458","56.490671"
"Jamie Gruzska","American","Hollywood, Florida","-80.1494901","26.011201",NA,NA,NA
"Jane Wenger","American","New York City, New York","-74.0059728","40.712775",NA,NA,NA
"Jeff Wall","Canadian","Vancouver (British Columbia, Canada)","-123.1207375","49.282729",NA,NA,NA
