"photographer","nationality","birth_place","bp_lon","bp_lat","death_place","dp_lon","dp_lat","n_photo","party_type","birth_date","death_date","birth_year","death_year","first_name","gender","age_at_death"
"A. Aubrey Bodine","American","Baltimore (Baltimore Independent City, Maryland, United States)","-76.5408093","39.398901","Baltimore (Baltimore Independent City, Maryland, United States)","-76.5408093","39.398901",6,"Person","1906-01-01","1970-01-01","1906","1970","A.",NA,64
"Aaron Siskind","American","New York City (New York state, United States)","-74.0059728","40.712775","Providence (Providence county, Rhode Island, United States)","-71.4128343","41.823989",1,"Person","1903-01-01","1991-01-01","1903","1991","Aaron","male",88
"Aaronel deRoy Gruber","American","Pittsburgh (Allegheny county, Pennsylvania, United States)","-79.9958864","40.440625","Pittsburgh","-79.9958864","40.440625",5,"Person","1918-01-01","2011-01-01","1918","2011","Aaronel",NA,93
"Adolf de Meyer","French","Paris (Ville de Paris department, Île-de-France, France)","2.3522148","48.856582","Hollywood (Los Angeles, Los Angeles county, California, United States)","-118.3286614","34.092809",1,"Person","1868-01-01","1949-01-01","1868","1949","Adolf","male",81
"Alan Cohen","American","Harrisburg, PA","-76.8867008","40.273191",NA,NA,NA,5,"Person","1943-01-01",NA,"1943",NA,"Alan","male",NA
"Alexandre Georges","American","France","2.2137490","46.227638",NA,NA,NA,4,"Person","1916-01-01",NA,"1916",NA,"Alexandre","male",NA
"Alfred Stieglitz","American","Hoboken (Hudson county, New Jersey, United States)","-74.0323626","40.743991","New York City (New York state, United States)","-74.0059728","40.712775",50,"Person","1864-01-01","1946-01-01","1864","1946","Alfred","male",82
"Algimantas S. J. Kezys","Lithuanian","Lithuania","23.8812750","55.169438",NA,NA,NA,6,"Person","1928-01-01",NA,"1928",NA,"Algimantas","male",NA
"Alice Boughton","American","Brooklyn, New York, USA","-73.9441579","40.678178",NA,NA,NA,1,"Person","1865-01-01","1943-01-01","1865","1943","Alice","female",78
"Alison Rossiter","American","Jackson, Mississippi, United States","-90.1848103","32.298757",NA,NA,NA,2,"Person","1953-01-01",NA,"1953",NA,"Alison","female",NA
"Alvin Langdon Coburn","British",NA,NA,NA,NA,NA,NA,33,"Person","1881-01-01","1966-01-01","1881","1966","Alvin","male",85
"André Kertész","American","Budapest, Hungary","19.0402350","47.497912","New York, NY","-74.0059728","40.712775",14,"Person","1894-01-01","1985-01-01","1894","1985","Andr�",NA,91
"Andreas Feininger","French","Paris (Ville de Paris department, Ile-de-France, France)","2.3522148","48.856582","New York City (New York state, United States)","-74.0059728","40.712775",2,"Person","1906-01-01","1999-01-01","1906","1999","Andreas","male",93
"Annie O'Neill","American","Wading River, NY","-72.8426016","40.950376",NA,NA,NA,2,"Person","1966-01-01",NA,"1966",NA,"Annie","female",NA
"Anouk Kruithof","Dutch","Dordrecht, Netherlands","4.6900929","51.813298",NA,NA,NA,1,"Person","1981-06-02",NA,"1981",NA,"Anouk","female",NA
"Ansel Adams","American","San Francisco (San Francisco county, California, United States)","-122.4194155","37.774929","Carmel (Monterey county, California, United States)","-121.9232879","36.555239",9,"Person","1902-02-20","1984-04-22","1902","1984","Ansel","male",82
"Anthony Barboza","American","New Bedford, MA","-70.9342050","41.636215",NA,NA,NA,4,"Person","1944-01-01",NA,"1944",NA,"Anthony","male",NA
"Antony Armstrong-Jones, Earl of Snowdon","British","London (Greater London, England, United Kingdom)","-0.1277583","51.507351",NA,NA,NA,1,"Person","1930-01-01",NA,"1930",NA,"Antony","male",NA
"Arne Svenson","American","Santa Monica, California, USA","-118.4911912","34.019454",NA,NA,NA,1,"Person","1952-01-01",NA,"1952",NA,"Arne","male",NA
"Arthur Rothstein","American","New York, New York","-115.1745559","36.102371","New Rochelle, NY","-73.7823549","40.911488",5,"Person","1915-01-01","1985-01-01","1915","1985","Arthur","male",70
"Aspen Mays","American","Asheville, NC","-82.5514869","35.595058",NA,NA,NA,1,"Person","1980-01-01",NA,"1980",NA,"Aspen","female",NA
"August Sander","German","Herdorf (Koblenz district, Rhineland Palatinate, Germany)",NA,NA,"Cologne (K�ln district, North Rhine-Westphalia, Germany)","6.9602786","50.937531",8,"Person","1876-01-01","1964-01-01","1876","1964","August","male",88
"Barbara Morgan","American","Buffalo (Wilson county, Kansas, United States)","-95.6974822","37.709767","Sleepy Hollow (Westchester county, New York state, United States)","-73.8584684","41.085652",35,"Person","1899-12-31","1992-01-01","1899","1992","Barbara","female",93
"Baron","British","England","-1.1743197","52.355518",NA,NA,NA,1,"Person","1906-01-01","1956-01-01","1906","1956","Baron","male",50
"Baron Raimond von Stillfried-Rathenitz","Austrian","Chomutov (Severocesky Kraj, Czech Republic)","13.4107370","50.463498","Vienna (Wien state, Austria)","16.3668609","48.206293",1,"Person","1839-01-01","1911-01-01","1839","1911","Baron","male",72
