"photographer","nationality","birth_place","bp_lon","bp_lat","death_place","dp_lon","dp_lat","n_photo","party_type","birth_date","death_date","birth_year","death_year","title","creation_date","item_width","item_height","item_depth","surface","Medium","Method Acquired"
"A. Aubrey Bodine","American","Baltimore (Baltimore Independent City, Maryland, United States)","-76.5408093","39.398901","Baltimore (Baltimore Independent City, Maryland, United States)","-76.5408093","39.398901",6,"Person","1906-01-01","1970-01-01","1906","1970","805 Park Avenue","1943",21.625,25.625,0.5,554.140625,"others","Individual"
"A. Aubrey Bodine","American","Baltimore (Baltimore Independent City, Maryland, United States)","-76.5408093","39.398901","Baltimore (Baltimore Independent City, Maryland, United States)","-76.5408093","39.398901",6,"Person","1906-01-01","1970-01-01","1906","1970","Bessemer Converter, Sparrows Point","1946",22.25,26.125,0.5,581.28125,"gelatin silver print","Individual"
"A. Aubrey Bodine","American","Baltimore (Baltimore Independent City, Maryland, United States)","-76.5408093","39.398901","Baltimore (Baltimore Independent City, Maryland, United States)","-76.5408093","39.398901",6,"Person","1906-01-01","1970-01-01","1906","1970","Industrial Zig Zag","1950",16,19.875,0,318,"gelatin silver print","Individual"
"A. Aubrey Bodine","American","Baltimore (Baltimore Independent City, Maryland, United States)","-76.5408093","39.398901","Baltimore (Baltimore Independent City, Maryland, United States)","-76.5408093","39.398901",6,"Person","1906-01-01","1970-01-01","1906","1970","Sparrows Point Plant, Baltimore","1950",25,21,0.5,525,"gelatin silver print","Individual"
"A. Aubrey Bodine","American","Baltimore (Baltimore Independent City, Maryland, United States)","-76.5408093","39.398901","Baltimore (Baltimore Independent City, Maryland, United States)","-76.5408093","39.398901",6,"Person","1906-01-01","1970-01-01","1906","1970","Sparrows Point, Baltimore","1948",25.625,21.75,1.5,557.34375,"gelatin silver print","Individual"
"A. Aubrey Bodine","American","Baltimore (Baltimore Independent City, Maryland, United States)","-76.5408093","39.398901","Baltimore (Baltimore Independent City, Maryland, United States)","-76.5408093","39.398901",6,"Person","1906-01-01","1970-01-01","1906","1970","St. John's","1930",18.25,22,0.5,401.5,"gelatin silver print","Individual"
"Aaron Siskind","American","New York City (New York state, United States)","-74.0059728","40.712775","Providence (Providence county, Rhode Island, United States)","-71.4128343","41.823989",1,"Person","1903-01-01","1991-01-01","1903","1991","Untitled","1970",6.875,8.938,0,61.44875,"gelatin silver print","Individual"
"Aaronel deRoy Gruber","American","Pittsburgh (Allegheny county, Pennsylvania, United States)","-79.9958864","40.440625","Pittsburgh","-79.9958864","40.440625",5,"Person","1918-01-01","2011-01-01","1918","2011","Charles ""Teenie"" Harris","1998",7.875,10,0,78.75,"gelatin silver print","Individual"
"Aaronel deRoy Gruber","American","Pittsburgh (Allegheny county, Pennsylvania, United States)","-79.9958864","40.440625","Pittsburgh","-79.9958864","40.440625",5,"Person","1918-01-01","2011-01-01","1918","2011","Charles ""Teenie"" Harris","1998",14,11,0,154,"gelatin silver print","Individual"
"Aaronel deRoy Gruber","American","Pittsburgh (Allegheny county, Pennsylvania, United States)","-79.9958864","40.440625","Pittsburgh","-79.9958864","40.440625",5,"Person","1918-01-01","2011-01-01","1918","2011","Carrie Furnace View #1","2007",17.562,8.875,0.875,155.86275,"inkjet print","Foundation"
